,,,,,UM 49 08 Rekomendasi Atas Penghapusbukuan Aset.pdf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusbukuan  ,Alasan Penghapusan ,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Realisasi Pelaksanaan Penghapusbukuan,,,,,,,,
,,,,,,,,,,,,,,,,,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan (Jual Lelang/Hapus Administrasi),Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3,,Cek DAT
13,120505000467,REGION BALI NUSRA,BIMA,12406,Penerangan Dermaga,Jalan dan Bangunan,Rp138.182,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp2.013.512,YA,,Jual Lelang,31/12/2021,2214863,2214863,https://drive.google.com/file/d/1IZGWsnt_CqLCSaQSZeANkxBvysPZDty/view?usp=sharing,,#N/A
14,120505000475,REGION BALI NUSRA,BIMA,12406,Jaringan Listrik 20 Titik ,Instalasi Fasipel,Rp358.364,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp900.900,YA,,Jual Lelang,31/12/2021,990990,990990,https://drive.google.com/file/d/1IZGWsnt_CqLCSaQSZeANkxBvysPZDty/view?usp=sharing,,#N/A
15,120508000112,REGION BALI NUSRA,CELUKAN BAWANG,12403,Kijang Innova,Kendaraan,Rp34.289.586,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp46.700.000,YA,,Jual Lelang,31/12/2021,52.590.000,52.590.000,https://drive.google.com/file/d/1IZGWsnt_CqLCSaQSZeANkxBvysPZDty/view?usp=sharing,,#N/A
16,120505000572,,Kawasan Pangkalan Bun,,Pesawat Ssb,Kendaraan,Rp1,60,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2021,,,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,Pesawat Ssb
17,120504000111,REGION BALI NUSRA,KUPANG,12409,Mobil Crane,Alat-alat Fisipel,Rp72.831.371,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp155.788.000,Ya,,Jual Lelang,31/12/2021,172.477.900,172.477.900,https://drive.google.com/file/d/1IZGWsnt_CqLCSaQSZeANkxBvysPZDty/view?usp=sharing,,#N/A
18,120501000213,REGION BALI NUSRA,MAUMERE,12408,Urugan Lapangan Penumpukan,Jalan dan Bangunan,Rp99.979.000,300,,,Hapus administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,YA,,Hapus Administrasi,31/12/2021,,,https://drive.google.com/file/d/1IZGWsnt_CqLCSaQSZeANkxBvysPZDty/view?usp=sharing,,Urugan Lapangan Penumpukan
19,120506001078,REGION BALI NUSRA,MAUMERE,12408,Pos Jaga Dip 94/95,Jalan dan Bangunan,Rp809.393,300,,,Hapus administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,YA,,Hapus Administrasi,31/12/2021,,,https://drive.google.com/file/d/1IZGWsnt_CqLCSaQSZeANkxBvysPZDty/view?usp=sharing,,#N/A
20,120503000044,REGION KALIMANTAN,PULANG PISAU,12504,Motor Boat (Dari Kt.Pusat),Kendaraan ,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp300.000,Ya,,Jual Lelang,31/12/2021,1.968.182,2.165.000,https://drive.google.com/file/d/1QIyLpPOh8wKc2BSEGmv8Vj5Y_CPoYPWC/view?usp=drive_link,,#N/A
21,120508000062,,REGION BALI NUSRA,,Mitsubishi Pajero Sport L 301 PR,Kendaraan ,Rp88.899.900,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp211.800.000,YA,,Jual Lelang,31/12/2021,232.990.000,232.990.000,https://drive.google.com/file/d/1IZGWsnt_CqLCSaQSZeANkxBvysPZDty/view?usp=sharing,,#N/A
22,120507000570,REGION JAWA,TANJUNG EMAS,12302,Unified Threat Management,Prinati Lunak,Rp3.920.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp60.000,Ya,,Jual Lelang,31/12/2021,912.345.678,1.003.590.246,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9,,#N/A
