Surat Persetujuan Penghapusan dari Direksi,,,,,101.Persetujuan atas Usulan Penghapusbukuan AT Milik PT Pelindo UE sd 5 th (3) (1).pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Nama Aset,Asset Class,Nilai Aset ,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusbukuan ,Alasan Penghapusan,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Realisasi Pelaksanaan Penghapusbukuan,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3,,,,,,,,,
15,7281,KANTOR PUSAT,KANTOR PUSAT,12101,Nissan Serena HWS,Kendaraan,Rp0,0,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,#N/A
16,120508000153,KANTOR PUSAT,KANTOR PUSAT,12101,Mobil MercedesBenz Jeep L.CHDTPGLS 400 (X166) ,Kendaraan,Rp625.648.970,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,#N/A
17,120508000154,KANTOR PUSAT,KANTOR PUSAT,12101,Mobil MercedesBenz Jeep L.CHDTPGLS 400 (X166) ,Kendaraan,Rp625.648.970,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,#N/A
18,120508000155,KANTOR PUSAT,KANTOR PUSAT,12101,Mobil MercedesBenz Jeep L.CHDTPGLS 400 (X166) ,Kendaraan,Rp625.648.970,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,31/12/2023,,,,,,,,,,,,Mobil MercedesBenz Jeep L.C.HDTP GLS 400  (X166)
19,120507000327,REGION JAWA,TANJUNG EMAS,12302,Mesin Absensi,Peralatan,Rp1,60,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
20,120507000328,REGION JAWA,TANJUNG EMAS,12302,Penggantian compresor AC central,Instalasi Fasipel,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.920.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
21,120507000329,REGION JAWA,TANJUNG EMAS,12302,UPS Brano Vektor (15KVA),Instalasi Fasipel,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp300.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
22,120508000099,REGION JAWA,TANJUNG INTAN,12305,Honda Supra Fit R 6528 SB dan R 6529 SB ,Kendaraan,Rp1.679.046,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp2.600.000,Ya,,Jual Lelang,31/12/2023,4.250.000,4.717.500,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
23,120504003254,REGION JAWA,REGION JATIM,12201,Dump Truck,Alat-alat Fasipel,Rp1.962.237,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.600.000,Ya,,Jual Lelang,31/12/2023,256.750.000,143.866.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
24,120504003255,REGION JAWA,REGION JATIM,12201,Truck Arm Roll,Alat-alat Fasipel,Rp782.990,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp24.600.000,Ya,,Jual Lelang,31/12/2023,83.000.000,81.928.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
25,120504003256,REGION JAWA,REGION JATIM,12201,Armroll L.7975 KA,Alat-alat Fasipel,Rp1.501.206,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp24.600.000,Ya,,Jual Lelang,31/12/2023,83.000.000,81.928.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
26,120504003257,REGION JAWA,REGION JATIM,12201,Dump Truk L.8080 FA Mesin.FE6 113845 CY,Alat-alat Fasipel,Rp3.086.237,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.600.000,Ya,,Jual Lelang,31/12/2023,256.750.000,143.866.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
27,120504003258,REGION JAWA,REGION JATIM,12201,Truck Arm Roll,Alat-alat Fasipel,Rp2.782.348,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp24.600.000,Ya,,Jual Lelang,31/12/2023,83.000.000,81.928.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
28,120504003276,REGION JAWA,REGION JATIM,12201,FIX SPREADER 40 FEET,Alat-alat Fasipel,Rp24.025.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp2.830.000,Ya,,Jual Lelang,31/12/2023,51.999.999,11.254.300,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
29,120508000038,REGION JAWA,REGION JATIM,12201,Truck Toyota Dyna Rino 6R Heavy Duty,Alat-alat Fasipel,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp7.300.000,Ya,,Jual Lelang,31/12/2023,51.999.999,11.254.300,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
30,120508000039,REGION JAWA,REGION JATIM,12201,Mobil Kijang PU L.7282 DC,Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp10.400.000,Ya,,Jual Lelang,31/12/2023,143.680.000,48.850.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
31,120508000041,REGION JAWA,REGION JATIM,12201,Mobil Kijang PU L.7284DC/ Toyota Kijang L 8119 Sj,Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp20.900.000,Ya,,Jual Lelang,31/12/2023,152.680.000,88.699.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
32,120508000042,REGION JAWA,REGION JATIM,12201,Mobi Kijang PU L. 7283 DC/ Toyota King L 8119 S,Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp10.400.000,Ya,,Jual Lelang,31/12/2023,143.680.000,48.850.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
33,120508000044,REGION JAWA,REGION JATIM,12201,Pick Up Hilux/Toyota HiLux L 9611 NC ,Kendaraan,Rp26.689.091,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp24.300.000,Ya,,Jual Lelang,31/12/2023,152.680.000,88.699.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
34,120508000045,REGION JAWA,REGION JATIM,12201,Mobi Dump Mobi Truck Sampah (Kapastas21 m3),Kendaraan,Rp130.727.273,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp58.400.000,Ya,,Jual Lelang,31/12/2023,256.750.000,143.866.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
35,120508000046,REGION JAWA,REGION JATIM,12201,Kijang Innova G M/TL. 1912 PN,Kendaraan,Rp42.135.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp58.600.000,Ya,,Jual Lelang,31/12/2023,278.508.800,195.148.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
36,120508000047,REGION JAWA,REGION JATIM,12201,Kijang Innova M/TL. 1913PN,Kendaraan,Rp42.135.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp58.600.000,Ya,,Jual Lelang,31/12/2023,278.508.800,195.148.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
37,120508000048,REGION JAWA,REGION JATIM,12201,Kijang Innova M/TL. 1915PN,Kendaraan,Rp42.135.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp58.600.000,Ya,,Jual Lelang,31/12/2023,278.508.800,195.148.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
38,120508000049,REGION JAWA,REGION JATIM,12201,Hilux Pick Up L 9313 NE,Kendaraan,Rp26.325.455,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp10.400.000,Ya,,Jual Lelang,31/12/2023,152.680.000,88.699.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
39,120508000052,REGION JAWA,REGION JATIM,12201,Toyota Pick Up Hilux PU 4x2 L 9008 PD ,Kendaraan,Rp20.932.727,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp13.900.000,Ya,,Jual Lelang,31/12/2023,143.680.000,48.850.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
40,120508000054,REGION JAWA,REGION JATIM,12201,Toyota Hilux PU 4x2/TOYOTA HILUX L 9413 NA  ,Kendaraan,Rp21.805.455,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp24.300.000,Ya,,Jual Lelang,31/12/2023,152.680.000,88.699.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
41,120508000006,REGION JAWA,TG TEMBAGA,12211,Toyota Suv Fortuner. H 7445 DF,Kendaraan,Rp73.900.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp129.500.000,Ya,,Jual Lelang,31/12/2023,167.500.000,143.755.000,https://drive.google.com/file/d/1J_Um1THhIhkZOLPcWVca_UWA1XjKs_E/view?usp=drive_link,,,,,,,,,#N/A
42,120507000371,REGION JAWA,TEGAL,12303,Filing kabinet ,Peralatan,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp20.000,Ya,,Jual Lelang,31/12/2023,330.000,366.300,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
43,120507000372,REGION JAWA,TEGAL,12303,Meja tulis dan kursi,Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp90.000,Ya,,Jual Lelang,31/12/2023,330.000,366.300,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
44,120507000373,REGION JAWA,TEGAL,12303,Almari,Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp40.000,Ya,,Jual Lelang,31/12/2023,330.000,366.300,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
45,120507000374,REGION JAWA,TEGAL,12303,Filing kabinet ,Peralatan,Rp3,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp20.000,Ya,,Jual Lelang,31/12/2023,330.000,366.300,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
46,120507000376,REGION JAWA,TEGAL,12303,Meubeller,Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp120.000,Ya,,Jual Lelang,31/12/2023,330.000,366.300,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
47,120507000377,REGION JAWA,TEGAL,12303,Filing kabinet ,Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp20.000,Ya,,Jual Lelang,31/12/2023,330.000,366.300,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
48,7199,REGION KALIMANTAN,TPKB,12502,Mobil Kijang Toyota,Kendaraan,Rp0,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp9.300.000,Ya,,Jual Lelang,31/12/2023,21.891.711,24.309.799,https://drive.google.com/file/d/1HJ2I3f_dmzeeH2LvPbA8R1Vdzmn_GKP/view?usp=drive_link,,,,,,,,,#N/A
49,120504000341,REGION JAWA,TPKS,12304,Terminal Tractor 21306,Alat-alat Fasipel,Rp27.272.439,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,Barang Milik Asuransi,Rp5.450.000,Tidak,,Hapus Administrasi,31/12/2023,,,,,,,,,,,,#N/A
50,120504000347,REGION JAWA,TPKS,12304,Terminal Tractor 21312,Alat-alat Fasipel,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp5.450.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
51,120504003435,REGION JAWA,TPKS,12304,Head Truck /VML110/Merk Vovo,Alat-alat Fasipel,Rp4.457.897,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.300.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
52,120504003436,REGION JAWA,TPKS,12304,Head Truck/VL 111/Merk Vovo ,Alat-alat Fasipel,Rp4.457.897,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.300.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
53,120504003437,REGION JAWA,TPKS,12304,Head Truck/VL112/Merk Volvo,Alat-alat Fasipel,Rp4.457.897,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.300.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
54,120504003438,REGION JAWA,TPKS,12304,Head Truck /VL113/Merk Vovo ,Alat-alat Fasipel,Rp4.457.897,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.300.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
55,120504003439,REGION JAWA,TPKS,12304,Head Truck /VL114/Merk Vovo ,Alat-alat Fasipel,Rp2.381.355,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.300.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
56,120504003440,REGION JAWA,TPKS,12304,Head Truck/VL116/Merk Volvo,Alat-alat Fasipel,Rp26.671.180,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.300.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,Head Truck/VL116/Merk Volvo
57,120504003485,REGION JAWA,TPKS,12304,Chass/CH­ 133/Merk Sande Baja,Alat-alat Fasipel,Rp2.342.636,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,Barang Milik Asuransi,Rp4.010.000,Tidak,,Hapus Administrasi,31/12/2023,,,,,,,,,,,,#N/A
58,120504003488,REGION JAWA,TPKS,12304,Chass/CH­ 137/Merk Sande Baja,Alat-alat Fasipel,Rp2.342.636,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,Barang Milik Asuransi,Rp4.010.000,Tidak,,Hapus Administrasi,31/12/2023,,,,,,,,,,,,#N/A
59,120507000551,REGION JAWA,TPKS,12304,Hand Held Terminal(HHT),Alat-alat Fasipel,Rp23.356.830,240,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
60,120507000552,REGION JAWA,TPKS,12304,Hand Held Terminal(HHT),Alat-alat Fasipel,Rp12.100.000,240,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
61,120507000555,REGION JAWA,TPKS,12304,Time Server,Piranti Lunak,Rp2.727.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp90.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
62,120507000556,REGION JAWA,TPKS,12304,Hand Held Terminal,Alat-alat Fasipel,Rp6.283.125,240,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
63,120507000560,REGION JAWA,TPKS,12304,HHT P5ION TEKLOGIX NO SERI CV002 CO 29005 ,Peralatan,Rp1.030.400,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
64,120507000561,REGION JAWA,TPKS,12304,HHT P5ION TEKLOGIX NO SERI CV002 CO 29009,Peralatan,Rp1.030.400,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
65,120507000562,REGION JAWA,TPKS,12304,HHT P5ION TEKLOGIX NO SERI CV002 CO 18322,Peralatan,Rp1.030.400,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
66,120507000563,REGION JAWA,TPKS,12304,HHT P5ION TEKLOGIX NO SERI CV002 CO 18323,Peralatan,Rp1.030.400,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
67,120507000564,REGION JAWA,TPKS,12304,HHT P5ION TEKLOGIX NO SERI CV002 CO 18324,Peralatan,Rp1.030.400,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
