Surat Persetujuan Penghapusan dari Direksi,,,,,101.Persetujuan atas Usulan Penghapusbukuan AT Milik PT Pelindo UE sd 5 th (3) (1).pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Nama Aset,Asset Class,Nilai Aset ,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusbukuan ,Alasan Penghapusan,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Realisasi Pelaksanaan Penghapusbukuan,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3,,,,,,,,,
68,120507000569,REGION JAWA,TPKS,12304,UPS,Instalasi Fasipel,Rp6.900.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp250.000,Ya,,Jual Lelang,31/12/2023,57.500.000,63.835.000,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,#N/A
69,120504003369,REGION KALIMANTAN,TRISAKTI,12503,wheel Loader,Alat-alat Fasipel,Rp1.028.746,96,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp29.340.000,Ya,,Jual Lelang,31/12/2023,64.583.031,71.697.164,https://drive.google.com/file/d/1dbZDU6khTY8gzbkNTGolcryi8ZnViUH3/view?usp=drive_link,,,,,,,,,#N/A
70,1205030000250,REGION JAWA,REGION JATIM,12201,Kapal pandu Fibre glass (PIII02) B. Masin,Kapal,Rp345.283.520,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp14.101.000,Ya,,Jual Lelang,31/12/2021,,15.854.400,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A,,,,,,,
71,1205030000251,REGION JAWA,REGION JATIM,12201,General Overhaul Mesin Induk P.III02,Alat-alat Fisipel,Rp462.995.207,240,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Jual Lelang,31/12/2021,,15.854.400,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A,,,,,,,
72,1205030000290,REGION JAWA,REGION JATIM,12201,Mesin Speed Boat Merk Yamaha 115 HP (Sampit),Alat-alat Fisipel,Rp5.718.900,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp600.000,Tidak,,Jual Lelang,31/12/2021,,,https://drive.google.com/file/d/1it_oOI7bWHodaRWEUGk0wWugkTX0R0E/view?usp=sharing,,#N/A,,,,,,,
73,1205030000291,REGION JAWA,REGION JATIM,12201,Body Speed Boat (Sampit),Kapal,Rp672.000,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp9.241.000,Tidak,,Jual Lelang,31/12/2021,,,https://drive.google.com/file/d/1it_oOI7bWHodaRWEUGk0wWugkTX0R0E/view?usp=sharing,,#N/A,,,,,,,
74,1205030000040,REGION JAWA,REGION JATIM,12201,Kapal Pandu (Dip) MPS 024,Kapal,Rp2.298.444,240,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp62.085.000,Ya,,Jual Lelang,31/12/2021,,68.303.500,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A,,,,,,,
75,1205030000041,REGION JAWA,REGION JATIM,12201,Docking Kapal Pandu (MPS 024),Kapal,Rp3.324.400,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Jual Lelang,31/12/2021,,68.303.500,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A,,,,,,,
76,1205030000042,REGION JAWA,REGION JATIM,12201,Kapal Pandu MPS024,Kapal,Rp106.568.841,240,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Jual Lelang,31/12/2021,,68.303.500,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A,,,,,,,
77,1205030000043,REGION JAWA,REGION JATIM,12201,Perbaikan Mesin Induk Kapal Pandu MPS024,Kapal,Rp96.138.263,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,,Jual Lelang,31/12/2021,,68.303.500,https://drive.google.com/file/d/1TkDQ6rp4h2MrHwX5IjMf1vjspQiML_n/view?usp=drive_link,,#N/A,,,,,,,
78,1205030000100,REGION JAWA,REGION JATIM,12201,Kapal Pandu Mpi 02 (TGL.PEROLEHAN : 01JAN1978),Kapal,Rp529.055,240,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp56.179.000,Tidak,,Jual Lelang,,,,,,#N/A,,,,,,,
79,1205030000101,REGION JAWA,REGION JATIM,12201,Kapal MPI 012,Kapal,Rp166.412.292,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,,Jual Lelang,,,,,,#N/A,,,,,,,
80,1205030000102,REGION JAWA,REGION JATIM,12201,General Overhaul Unit Mesin Induk MPI012,Kapal,Rp198.057.754,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,,Jual Lelang,,,,,,#N/A,,,,,,,
81,1205030000103,REGION JAWA,REGION JATIM,12201,Kapal Mpi012,Kapal,Rp2.120.709,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,,Jual Lelang,,,,,,#N/A,,,,,,,
82,120508000094,REGION BALI NUSRA,KUPANG,12409,Mobil Pick Up DH 9293 LA,Kendaraan,Rp23.504.091,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp53.500.000,tidak,,Jual Lelang,,,,TR.04.06 85 RBNT-2020-Laporan penjualan aset penghapusbukuan thn 2019.pdf,,,,,,,,,
83,120508000007,REGION BALI NUSRA,KUPANG,12409,Mobil Rush DH 8417 CA,Kendaraan,Rp40.060.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp91.200.000,tidak,,Jual Lelang,,,,TR.04.06 85 RBNT-2020-Laporan penjualan aset penghapusbukuan thn 2019.pdf,,,,,,,,,
84,120504003329,REGION JAWA,TANJUNG INTAN,12305,Chassis,Alat-alat Fasipel,Rp44.142.085,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp12.500.000,Tidak,,Jual Lelang,31/12/2024,11.852.235,13.165.981,LAPORAN HASIL LELANG TH 2021,,,,,,,,,
85,120504003254,REGION JAWA,REGION JATIM,12201,Dump Truck,Alat-alat Fasipel,Rp1.962.237,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp120.000.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
86,120504003257,REGION JAWA,REGION JATIM,12201,Dump Truck L.808C FA.Mesin.FE6113845 CY,Alat-alat Fasipel,Rp3.086.237,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp120.000.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
87,120508000045,REGION JAWA,REGION JATIM,12201,Mobil Dump Truck Sampah (Kapasitas 21 m3),Alat-alat Fasipel,Rp130.727.273,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp141.600.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
88,120504003255,REGION JAWA,REGION JATIM,12201,Truck Arm Roll,Alat-alat Fasipel,Rp782.990,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp45.800.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
89,120504003256,REGION JAWA,REGION JATIM,12201,Armroll L.7975 KA,Kendaraan ,Rp1.501.205,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp45.800.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
90,120504003258,REGION JAWA,REGION JATIM,12201,Truck Arm Roll,Alat-alat Fasipel,Rp27.622.343,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp45.800.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
91,120508000038,REGION JAWA,REGION JATIM,12201,Truck Toyota Dyna Rino 6R Heavy Duty,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp30.500.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
92,120504003276,REGION JAWA,REGION JATIM,12201,FIX SPREADER 40 FEET,Alat-alat Fasipel,Rp24.025.000,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp10.900.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
93,120508000046,REGION JAWA,REGION JATIM,12201,Kijang Innova G M/T L. 1912 PN,Kendaraan ,Rp42.135.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp126.500.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
94,120508000048,REGION JAWA,REGION JATIM,12201,Kijang Innova G M/T L. 1915 PN,Kendaraan ,Rp42.135.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp110.300.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
95,120508000047,REGION JAWA,REGION JATIM,12201,Kijang Innova G M/T L. 1913 PN,Kendaraan ,Rp42.135.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp116.800.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
96,120508000041,REGION JAWA,REGION JATIM,12201,Mobil Kijang PU L.7284 DC / Toyota Kijang L. 8119 SJ,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp62.400.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
97,120508000044,REGION JAWA,REGION JATIM,12201,Pick Up Hilux / Toyota Hi Lux 9611 NC,Kendaraan ,Rp26.689.091,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp69.400.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
98,120508000054,REGION JAWA,REGION JATIM,12201,Toyota Hilux PU 4x2 / TOYOTA HI LUX L 9413 NA,Kendaraan ,Rp21.805.455,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp61.600.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
99,120508000049,REGION JAWA,REGION JATIM,12201,Hilux Pick Up L 9313 NE,Kendaraan ,Rp26.325.455,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp63.100.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
100,120508000039,REGION JAWA,REGION JATIM,12201,Mobil Kijang PU L.7282 DC,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp59.100.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
101,120508000042,REGION JAWA,REGION JATIM,12201,Mobil Kijang PU L.7283 DC / Toyota Kijang L 8119 S,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp57.400.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
102,120508000052,REGION JAWA,REGION JATIM,12201,Toyota Pick Up Hilux PU 4 x 2 L 9008 PD,Kendaraan ,Rp20.932.721,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp55.300.000,Tidak,,Jual Lelang,,,,,,,,,,,,,
104,120507000328,REGION JAWA,TPKS,12304,Penggantian compressor AC Central Tg. Emas,Peralatan,Rp1,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp30.000.000,Ya,,Terjual di Jual Lelang Aset Tahun 2023,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,
105,120507000329,REGION JAWA,TPKS,12304,UPS Brano Vektor ,Instalasi Fasipel,Rp1,180,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.000.000,Ya,,Terjual di Jual Lelang Aset Tahun 2023,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m,,,,,,,,,
