Surat Persetujuan Penghapusan dari Direksi,,,,,Penjualan Aset 2019 umur eko sd 5th.pdf,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
No,No Aset,Subreg,Cabang,Profit Center,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusan,Alasan Penghapusan ,Kajian Hukum,Kajian Ekonomis,,Nilai Pasar,,,,,,,
20,120508000038,REGION JAWA,REGION JATIM,12201,Truck Toyota Dyna Rino 6R Heavy Duty,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp30.500.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
21,120504003276,REGION JAWA,REGION JATIM,12201,FIX SPREADER 40 FEET,Alat-alat Fasipel,Rp24.025.000,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp10.900.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
22,120508000046,REGION JAWA,REGION JATIM,12201,Kijang Innova G M/T L. 1912 PN,Kendaraan ,Rp42.135.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp126.500.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
23,120508000048,REGION JAWA,REGION JATIM,12201,Kijang Innova G M/T L. 1915 PN,Kendaraan ,Rp42.135.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp110.300.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
24,120508000047,REGION JAWA,REGION JATIM,12201,Kijang Innova G M/T L. 1913 PN,Kendaraan ,Rp42.135.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp116.800.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
25,120508000041,REGION JAWA,REGION JATIM,12201,Mobil Kijang PU L.7284 DC / Toyota Kijang L. 8119 SJ,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp62.400.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
26,120508000044,REGION JAWA,REGION JATIM,12201,Pick Up Hilux / Toyota Hi Lux 9611 NC,Kendaraan ,Rp26.689.091,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp69.400.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
27,120508000054,REGION JAWA,REGION JATIM,12201,Toyota Hilux PU 4x2 / TOYOTA HI LUX L 9413 NA,Kendaraan ,Rp21.805.455,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp61.600.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
28,120508000049,REGION JAWA,REGION JATIM,12201,Hilux Pick Up L 9313 NE,Kendaraan ,Rp26.325.455,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp63.100.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
29,120508000039,REGION JAWA,REGION JATIM,12201,Mobil Kijang PU L.7282 DC,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp59.100.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
30,120508000042,REGION JAWA,REGION JATIM,12201,Mobil Kijang PU L.7283 DC / Toyota Kijang L 8119 S,Kendaraan ,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp57.400.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
31,120508000052,REGION JAWA,REGION JATIM,12201,Toyota Pick Up Hilux PU 4 x 2 L 9008 PD,Kendaraan ,Rp20.932.721,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp55.300.000,Tidak,,Ikut Jual Lelang Aset Periode Th 2023,,,,
