Surat Persetujuan Penghapusan dari Direksi,,,,,1. Surat Persetujuan Direksi atas Usulan Penghapusbukuan Aset Tahun 2018 .pdf.pdf,,,,,,,,,,,,,,,,,,
,,,,,,#ERROR!,,,,,,,,,,,,,,,,,
NO.,Nomor Aset,Subreg,Cabang,Profit Center ,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusan,Alasan Penghapusan,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan ,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3
67,120508000123,REGION KALIMANTAN ,KOTABARU,12505,Toyota Kijang Pickup (DA 9364 GC) /Break Down),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp20.000.000,Tidak,Tidak laku,,,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
68,120508000124,REGION KALIMANTAN ,KOTABARU,12505,Toyota Kijang LSX 1.8 (DA 1245 TG) (Break Down),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp25.000.000,Tidak,Tidak laku,,,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
69,120508000128,REGION KALIMANTAN ,KOTABARU,12505,Toyota Kijang LSX 2.0 (DA 1085 GC),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp50.000.000,Tidak,Tidak laku,,,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
70,120508000129,REGION KALIMANTAN ,KOTABARU,12505,Toyota Kijang LSX 2.0 (DA 1069 TG) (Break Dow) ,Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp25.000.000,Tidak,Tidak laku,,,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
71,120508000130,REGION KALIMANTAN ,KOTABARU,12505,Toyota Kijang Krista 2.0 (DA 1076 GC),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp58.000.000,Tidak,Tidak laku,,,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
72,120508000134,REGION KALIMANTAN ,KOTABARU,12505,Mitsubishi L200 2.5 Single (DA 8248 GC) ,Kendaraan,Rp16.977.272,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp65.000.000,Tidak,Tidak laku,,,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
73,120508000136,REGION KALIMANTAN ,KOTABARU,12505,Toyota Kijang Innova G 2.0 (DA 1074 CC) (Break Down),Kendaraan,,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.000.000,Ya,,Jual Lelang,31/12/2019,31.818.182,35.000.000,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
74,120508000136,REGION KALIMANTAN ,KOTABARU,12505,Toyota Kijang Innova G 2.0 (DA 1075 CC),Kendaraan,Rp99.370.727,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp90.000.000,Tidak,Tidak laku,,,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
75,120508000136,REGION KALIMANTAN ,KOTABARU,12505,Toyota Avanza G 13 (DA 1076 GC),Kendaraan,Rp99.370.727,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp68.000.000,Tidak,Tidak laku,,,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
76,120508000137,REGION KALIMANTAN ,KOTABARU,12505,Mitsubishi L200 2.8 Double (DA 8250 GC),Kendaraan,Rp47.390.909,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp90.000.000,Tidak,Tidak laku,,,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
77,120401000035,REGION KALIMANTAN,KUMAI,12510,Gudang B Kumai (Scrap),Jalan dan Bangunan,Rp27.228.578,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp5.749.000,Ya,,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
78,120502000834,REGION KALIMANTAN,KUMAI,12510,Terminal Penumpang Pangkalan Bun (Demolished) (Terminal Penumpang),Bangunan Fasipel,Rp48.593.460,600,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp0,Ya,,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
79,120502000974,REGION KALIMANTAN,KUMAI,12510,Terminal Penumpang Kumai (Scrap) {Lapangan Parkir Terminal Penumpang},Bangunan Fasipel,Rp267.464.222,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.800.000,Ya,,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
80,120506000909,REGION KALIMANTAN,KUMAI,12510,Rumah dinas ex Kacab Jalan Pangeran Antasari Gg .Waru No.1 Pangkalan Bun,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp679.000,Ya,,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
81,120506001097,REGION KALIMANTAN,KUMAI,12510,Rumah dinas Teknik Jalan Pelita No. 60 Kumai,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp307.000,Ya,,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
82,120506001114,REGION KALIMANTAN,KUMAI,12510,Rumah dinas Kacab Jalan Pelita No. 61 Kumai,Jalan dan Bangunan,Rp1,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp569.000,Ya,,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
83,120506001142,REGION KALIMANTAN,KUMAI,12510,Kantor 120 M2 Kumai (Pel. Bumiharjo),Jalan dan Bangunan,Rp101.169.697,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp854.000,Ya,,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
84,120507000531,REGION KALIMANTAN,KUMAI,12510,Terminal Penumpang Kumai (Scrap) {pengadaan Tenda Terminal Penumpang},Bangunan Fasipel,Rp267.464.222,600,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.800.000,Ya,,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
85,120509000176,REGION KALIMANTAN,KUMAI,12510,Terminal Penumpang Kumai (Scrap) {Paving Blok Halaman Terminal Penumpang},Bangunan Fasipel,Rp267.464.222,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.800.000,Ya,,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
86,120506000601,REGION BALI NUSRA,LEMBAR,12405,Rumah dinas Jalan Majapahit No. 8 Lembar,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Tidak laku,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
87,120506001025,REGION BALI NUSRA,MAUMERE,12408,Rumah dinas JI. Wairkelau Maumere,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Tidak laku,,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=sharing
88,120508000071,REGION JAWA,TG TEMBAGA,12211,Honda Megapro (N 4544 PI),Kendaraan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp2.500.000,Ya,,Jual Lelang,31/12/2019,3.000.000,2.756.000,https://drive.google.com/file/d/1WiyXOn1kTcCeTS8CBMTYljr2GB0LSUU/view?usp=sharing
89,120508000072,REGION JAWA,TG TEMBAGA,12211,Toyota Avanza G (N 1640 RG),Kendaraan,Rp27.809.818,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp75.000.000,Ya,Tidak Laku,Jual Lelang,31/12/2019,,,https://drive.google.com/file/d/1WiyXOn1kTcCeTS8CBMTYljr2GB0LSUU/view?usp=sharing
90,120506000943,REGION KALIMANTAN,SAMPIT,12508,Rumah Dinas T 50 JIn. Pinang,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp820.000,Tidak,Tidak ada peserta lelang,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
91,120506000944,REGION KALIMANTAN,SAMPIT,12508,Rumah Dinas T 50 JIn. Pinang,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp838.000,Tidak,Tidak ada peserta lelang,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
92,120508000120,REGION KALIMANTAN,SAMPIT,12508,Toyota Kijang Innova G 2.0 (KH 1026 FB),Kendaraan,Rp35.736.364,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp95.000.000,Ya,,,31/12/2019,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
93,120508000121,REGION KALIMANTAN,SAMPIT,12508,Toyota Rush 15 (KH 1965 FB) ,Kendaraan,Rp38.096.364,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp85.000.000,Tidak,Tidak Laku,,31/12/2019,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
94,120508000122,REGION KALIMANTAN,SAMPIT,12508,Nissan Xtrail CVT ST (KH 111 FI),Kendaraan,Rp64.345.964,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp100.000.000,Tidak,Tidak Laku,,31/12/2019,,,https://drive.google.com/file/d/1xOgBBONviw9KelpuAZCYwFWNC9xlGmxN/view?usp=drive_link
95,120504000095,REGION JAWA,TPKS ,12304,Forklift NICHIYU FB20 Capacity 2 Ton (Break Down),Alat-alat Fasipel,Rp1.360.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp10.000.000,Ya,,Jual Lelang,31/12/2019,,10.006.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
96,120504000096,REGION JAWA,TPKS,12304,Forklift NICHIYU FB20 Capacity 2 Ton (Break Dow),Alat-alat Fasipel,Rp1.360.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp10.000.000,Ya,,Jual Lelang,31/12/2019,,10.006.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
97,120504000098,REGION JAWA,TPKS,12304,Timbangan 25 Ton (Demolished) ,Alat-alat Fasipel,Rp0,60,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,Fisik Aset Tidak Ditemukan,Hapus Administrasi,31/12/2019,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
98,120504000117,REGION JAWA,TPKS,12304,Forklift NICHIYU FB20 Capacity 2 Ton (Break Down),Alat-alat Fasipel,Rp1.360.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp10.000.000,Ya,,Jual Lelang,31/12/2019,,10.006.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
99,120505000361,REGION JAWA,TPKS,12304,Pompa Gd.Nusantara (Demolished),Instalasi Fasipel,Rp1,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,Fisik Aset Tidak Ditemukan,Hapus Administrasi,31/12/2019,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
100,120505000367,REGION JAWA,TPKS,12304,Pompa Air,Instalasi Fasipel,Rp2.557.968,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp150.000,Tidak,Tidak Laku Terjual,,31/12/2019,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
101,120507000321,REGION JAWA,TPKS,12304,Almari Besi (Demolished),Instalasi Fasipel,Rp0,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,Fisik Aset Tidak Ditemukan,Hapus Administrasi,31/12/2019,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
102,120507000323,REGION JAWA,TPKS,12304,Keyboard ,Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp20.000,Ya,,Jual Lelang,31/12/2019,,30.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
103,120507000327,REGION JAWA,TPKS,12304,Mesin Abseni,Instalasi Fasipel,Rp1,60,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp300.000,Ya,Fisik Aset Tidak Ditemukan,Hapus Administrasi,31/12/2023,,,https://drive.google.com/drive/folders/1uH2sT77FbRcey4vmJvtQVXJCYEH5Ln6m
104,120507000331,REGION JAWA,TPKS,12304,Mobil Pemadam Kebakaran (H 9570 HC}  (Break Down),Kendaraan,Rp11.459.000,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.000.000,Ya,,Jual Lelang,31/12/2019,,40.206.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
105,120507000337,REGION JAWA,TPKS,12304,Filling Kabinet (Demolished),Alat-alat Fasipel,Rp2,240,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,Fisik Aset Tidak Ditemukan,Hapus Administrasi,31/12/2019,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
106,120507000338,REGION JAWA,TPKS,12304,Filling Kabinet (Demolished),Alat-alat Fasipel,Rp2,240,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,Fisik Aset Tidak Ditemukan,Hapus Administrasi,31/12/2019,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
107,120508000076,REGION JAWA,TPKS,12304,Isuzu Elf (Mobil Tanki Air)  (H 1399 NS)  (Break Down),Kendaraan,Rp23.022.727,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp35.000.000,Ya,,Jual Lelang,31/12/2019,,38.006.001,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
108,120508000077,REGION JAWA,TPKS,12304,Motor Honda Supra Fit (H2079 QS) (Break Down),Kendaraan,Rp5.287.500,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp500.000,Ya,,Jual Lelang,31/12/2019,,503.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
109,120508000077,REGION JAWA,TPKS,12304,Motor Honda Supra Fit (H 2081 QS),Kendaraan,Rp5.287.500,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp2.000.000,Ya,,Jual Lelang,31/12/2019,,2.006.111,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
110,120508000077,REGION JAWA,TPKS,12304,Motor Honda Supra Fit (H 2082 QS),Kendaraan,Rp5.287.500,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp2.800.000,Tidak,Tidak Laku Terjual,,31/12/2019,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
111,120508000078,REGION JAWA,TPKS,12304,Isuzu panther Pick Up (H 1648 YA4)  (Break Down),Kendaraan,Rp20.054.545,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp25.000.000,Ya,,Jual Lelang,31/12/2019,,43.293.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
112,120508000079,REGION JAWA,TPKS,12304,Toyota Kijang Innova (H 9357 GA)  (Break Down),Kendaraan,Rp47.488.232,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp40.000.000,Ya,,Jual Lelang,31/12/2019,,40.006.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
113,120508000080,REGION JAWA,TPKS,12304,Toyota Kijang Innova (H 9201 GS),Kendaraan,Rp37.036.468,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp95.000.000,Tidak,Tidak Laku Terjual,,31/12/2019,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
114,120508000081,REGION JAWA,TPKS,12304,Toyota Pick Up Hilux (H 1945 TP)  (Break Down) ,Kendaraan,Rp26.258.482,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp30.000.000,Ya,,Jual Lelang,31/12/2019,,55.888.352,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
115,120508000083,REGION JAWA,TPKS,12304,Toyota Kijang Innova (H 9157 GA) ,Kendaraan,Rp42.870.486,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp126.000.000,Tidak,Tidak Laku Terjual,,31/12/2019,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
116,120508000053,REGION JAWA,REGION JATIM,12201,Toyota Hilux (L 9008 PE),Kendaraan,Rp20.932.727,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp70.000.000,Ya,,Jual Lelang,31/12/2019,31.769.000,28.875.455,https://drive.google.com/file/d/1K0YPdssO0tV_KLuKeKBzNCti0qeYNkOl/view?usp=sharing
117,120508000056,REGION JAWA,REGION JATIM,12201,Toyota Kijang Innova (L 1563 NL) ,Kendaraan,Rp36.722.727,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp90.000.000,Tidak,,,31/12/2019,106.500.000,99.006.000,https://drive.google.com/file/d/1UzPm_YvEVcn1Gzv4x8CwEHV9cZuZQWyv/view?usp=sharing
118,120508000057,REGION JAWA,REGION JATIM,12201,Toyota Kijang Innova (L 1564 NL) ,Kendaraan,Rp36.722.727,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp90.000.000,Tidak,,,31/12/2019,103.000.000,99.006.000,https://drive.google.com/file/d/1UzPm_YvEVcn1Gzv4x8CwEHV9cZuZQWyv/view?usp=sharing
119,120508000058,REGION JAWA,REGION JATIM,12201,Toyota Kijang Innova (L 1574 NL),Kendaraan,Rp36.722.727,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp90.000.000,Tidak,,,31/12/2019,106.000.000,99.006.000,https://drive.google.com/file/d/1UzPm_YvEVcn1Gzv4x8CwEHV9cZuZQWyv/view?usp=sharing
120,120508000059,REGION JAWA,REGION JATIM,12201,Toyota Kijang Innova (L 1575 NL),Kendaraan,Rp36.722.727,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp90.000.000,Tidak,,,31/12/2019,105.500.000,99.006.000,https://drive.google.com/file/d/1UzPm_YvEVcn1Gzv4x8CwEHV9cZuZQWyv/view?usp=sharing
121,120502000388,REGION JAWA,TANJUNG EMAS,12302,Gd. Dharma Wanita,Jalan dan Bangunan,Rp354.346,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,Fisik Aset Dibongkar karena untuk perluasan CY Fumigasi,Hapus Administrasi,31/12/2018,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
122,120502000402,REGION JAWA,TANJUNG EMAS,12302,Gudang (Gudang SO2 Lini I  (Dip/Loan)),Jalan dan Bangunan,Rp1.080.183,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp1.854.300.000,Ya,,Jual Lelang,31/12/2020,,1.117.506.000,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
123,120505000334,REGION JAWA,TANJUNG EMAS,12302,Sumur dan Tower Dip JI. Kalibaru Timur,Jalan dan Bangunan,Rp8.842.432,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,Fisik Aset Dibongkar karena untuk CY Overbrengen Kalibaru Timur,Hapus Administrasi,31/12/2018,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
124,120506000437,REGION JAWA,TANJUNG EMAS,12302,Pagar Batas Ringbewaking JIn. Usman Janatin,Emplasmen,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,"Fisik Aset Tidak Ditemukan, berdasar BA KJPP Immanuel,Johnny & Rekan  nomor BA.146.18/KU.0302/TMS2016 tanggal 24112016",Hapus Administrasi,31/12/2016,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
125,120506000439,REGION JAWA,TANJUNG EMAS,12302,Pagar Kawat (Dip) Lapangan Penumukan Coaster,Bangunan Fasipel,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,"Fisik Aset Tidak Ditemukan, berdasar BA KJPP Immanuel,Johnny & Rekan  nomor BA.146.18/KU.0302/TMS2016 tanggal 24112016",Hapus Administrasi,31/12/2016,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
126,120506000456,REGION JAWA,TANJUNG EMAS,12302,Kantin dan kantor koperasi,Jalan dan Bangunan,Rp5.983.859,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Tidak Laku,,31/12/2016,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
127,120506000466,REGION JAWA,TANJUNG EMAS,12302,Renovasi Rumdin Dan Instalasinya,Jalan dan Bangunan,Rp8.501.197,120,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,"Fisik Aset Tidak Ditemukan, berdasar BA KJPP Immanuel,Johnny & Rekan  nomor BA.146.18/KU.0302/TMS2016 tanggal 24112016",Hapus Administrasi,31/12/2016,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
128,120506000473,REGION JAWA,TANJUNG EMAS,12302,Gudang Persediaan,Jalan dan Bangunan,Rp91.434.983,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Tidak Laku,,31/12/2016,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
129,120506000483,REGION JAWA,TANJUNG EMAS,12302,Gudang Persediaan,Jalan dan Bangunan,Rp5.545.187,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Tidak Laku,,31/12/2016,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
130,120506000511,REGION JAWA,TANJUNG EMAS,12302,Kantor Koperasi,Jalan dan Bangunan,Rp4.372.065,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Tidak Laku,,31/12/2016,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
131,120506000513,REGION JAWA,TANJUNG EMAS,12302,Penambahan Gedung Koperasi,Jalan dan Bangunan,Rp3.998.645,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Tidak Laku,,31/12/2016,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
132,120506000516,REGION JAWA,TANJUNG EMAS,12302,Pagar BRC Samping Lap PLTU,Emplasmen,Rp2.845.030,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,Ya,"Fisik Aset Tidak Ditemukan, berdasar BA KJPP Immanuel,Johnny & Rekan  nomor BA.146.18/KU.0302/TMS2016 tanggal 24112016",Hapus Administrasi,31/12/2016,,,https://drive.google.com/drive/folders/17YqjwYsqiqDqmBHcetrnlLwXMr6waZO9
133,120502000671,REGION JAWA,TANJUNG INTAN,12305,Dermaga Minyak Dari Besi/ Kayu,Bangunan Fasipel,Rp0,600,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
134,120506000630,REGION JAWA,TANJUNG INTAN,12305,Pos Masuk (Pos Jaga),Jalan dan Bangunan,Rp28.145.303,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
135,120506000673,REGION JAWA,TANJUNG INTAN,12305,Kantor unit kesehatan,Jalan dan Bangunan,Rp659.099,,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
136,120506000674,REGION JAWA,TANJUNG INTAN,12305,Unit kesehatan pelabuhan,Bangunan Fasipel,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
137,120506000733,REGION JAWA,TANJUNG INTAN,12305,Bengkel Alat Berat,Jalan dan Bangunan,Rp3.604.480,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
138,0320,REGION JAWA,TANJUNG INTAN,12305,Dermaga V dan Dholpon (Dip) 400 m2,Bangunan Fasipel,Rp9.101.550,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,,,,,,,
139,120502000069,REGION JATIM,TANJUNG PERAK,12201,Bangunan Gedung (Gudang 100 Luas 1.59360 m2),Jalan dan Bangunan,Rp1.002.351.167,,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp30.600.000,Ya,,Jual Lelang,31/12/2020,40.000.000,36.338.500,https://drive.google.com/file/d/1uTLIybMHRCncuLWAjJqyszPLhKGpufU/view?usp=drive_link
