Surat Persetujuan Penghapusan dari Direksi,,,,,1. Surat Persetujuan Direksi atas Usulan Penghapusbukuan Aset Tahun 2018 .pdf.pdf,,,,,,,,,,,,,,,,,,
,,,,,,#ERROR!,,,,,,,,,,,,,,,,,
NO.,Nomor Aset,Subreg,Cabang,Profit Center ,Keterangan Aset,Asset Class,Nilai Aset,Umur Ekonomis,Tanggal Perolehan,Nilai Perolehan,Mekanisme Penghapusan,Alasan Penghapusan,Kajian Hukum,Kajian Ekonomis,Kajian Risiko,Nilai Pasar,Aset telah dilakukan penghapusbukuan secara Administrasi atau Jual Lelang (Ya/Tidak),Jika Tidak Dilakukan Penghapusbukuan sebutkan alasannya, Realisasi Metode Penghapusbukuan ,Tahun Pelaksanaan,Nominal Terjual,Nilai PPN + Materai + Dll,Dokumen Laporan Pelaksanaan Penghapusbukuan dari Regional/Sub Regional/Cabang ke KANTOR PUSAT Pelindo 3/Regional Head 3
16,120506001125,REGION KALIMANTAN,TPKB,12502,Rumah kakanwil V,Jalan dan Bangunan,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp0,Ya,,Hapus Administrasi,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
17,120506001161,REGION KALIMANTAN,TPKB,12502,Pagar tembok,Emplasmen,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp0,Ya,,Hapus Administrasi,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
18,120506001162,REGION KALIMANTAN,TPKB,12502,Pembuatan pagar batas tanah,Emplasmen,Rp1,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp0,Ya,,Hapus Administrasi,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
19,120506001164,REGION KALIMANTAN,TPKB,12502,Rumah Dinas Jl. Teluk Tiram Darat 5,Jalan dan Bangunan,Rp1,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp991.000,Tidak,Pemenang Dibatalkan,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
20,120506001165,REGION KALIMANTAN,TPKB,12502,Rumah Dinas Jl. Teluk Tiram Darat 1,Jalan dan Bangunan,Rp1,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp49.000,Tidak,Pemenang Dibatalkan,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
21,120506001166,REGION KALIMANTAN,TPKB,12502,Rumah Dinas Jl. Teluk Tiram Darat 7,Jalan dan Bangunan,Rp1,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp49.000,Tidak,Pemenang Dibatalkan,,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
22,120506001188,REGION KALIMANTAN,TPKB,12502,Pos Jaga Trisakti,Jalan dan Bangunan,Rp247.296,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp0,Ya,,Hapus Administrasi,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
23,120506001190,REGION KALIMANTAN,TPKB,12502,Pagar Beton Trisakti 300 m,Emplasmen,Rp832.599,300,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp0,Ya,,Hapus Administrasi,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
24,120506001293,REGION KALIMANTAN,TPKB,12502,Gedung Serba guna KSOP PEL Banjarmasin,Jalan dan Bangunan,Rp890.975.628,900,,,Hapus Administrasi,Migrasi Data,Migrasi Data,Migrasi Data,,Rp6.649.000,Ya,,Hapus Administrasi,31/12/2020,,,https://drive.google.com/file/d/1AJE0fYyLUV4nOREJNhqNANePiJhSGTj/view?usp=sharing
25,120504000244,REGION KALIMANTAN,TPKB,12502,Used RTG II,Bangunan Fasipel,Rp2.392.383.441,180,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Salah Identifikasi Aset,,,,,https://drive.google.com/file/d/1T_qqvJReEp0chB2sjEDsNOKxYSnN2A2/view?usp=drive_link
26,120504000245,REGION KALIMANTAN,TPKB,12502,Used RTG III,Bangunan Fasipel,Rp2.392.383.441,240,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,Tidak,Salah Identifikasi Aset,,,,,https://drive.google.com/file/d/1T_qqvJReEp0chB2sjEDsNOKxYSnN2A2/view?usp=drive_link
27,120502000744,REGION BALI NUSRA,BENOA,12404,Bangunan Terminal penumpang & Pengganti Atap (Terminal Penumpang),Bangunan Fasipel,Rp405.397.470,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp78.800.000,ya,,Jual Lelang,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
28,120502000744,REGION BALI NUSRA,BENOA,12404,Terminal Penumpang sisi Selatan (Terminal Penumpang),Bangunan Fasipel,Rp400.897.136,600,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,Jual Lelang,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
29,120502000747,REGION BALI NUSRA,BENOA,12404,Dermaga kayu,Bangunan Fasipel,Rp11.297.155,120,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,ya,,Jual Lelang,31/12/2020,,,https://drive.google.com/file/d/1Ld_Vx8OvVvS1fv3o7L0AGhW97HE0HAS6/view?usp=drive_link
30,120505000522,REGION BALI NUSRA,BENOA,12404,Electrical Centrifugal (0185) (Break down),Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp100.000,ya,,Jual Lelang,31/12/2019,,,https://drive.google.com/file/d/1uCNP_ih4jd4tzANUewxx4UHDgiNYYf/view?usp=drive_link
31,120505000523,REGION BALI NUSRA,BENOA,12404,Dozing Pump (0186) (Break Down),Peralatan,Rp1,60,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,Rp100.000,ya,,Jual Lelang,31/12/2019,,,https://drive.google.com/file/d/1uCNP_ih4jd4tzANUewxx4UHDgiNYYf/view?usp=drive_link
32,120506000765,REGION BALI NUSRA,BENOA,12404,Rumah Dinas Jalan Diponegoro 186 Benoa,Jalan dan Bangunan,Rp1,300,,,Jual Lelang,Migrasi Data,Migrasi Data,Migrasi Data,,,tidak,Penundaan penghapusan aset rumah dinas sesuai surat dari Direktur keuangan nomor TR 04.06/1/HOFC2020,,,,,https://drive.google.com/file/d/1l0ALxRpVGjMYoLvtZjc3ymLoLk7k1aC/view?usp=drive_link
